Team,Combined Gold,Combined Silver,Combined Bronze,Combined Total
Afghanistan,0,0,2,2
Albania,0,0,2,2
Algeria,7,4,9,20
Argentina,22,27,31,80
Armenia,2,11,9,22
Australasia,3,4,5,12
Australia,188,199,232,619
Austria,93,123,135,351
Azerbaijan,9,16,31,56
Bahamas,8,2,6,16
Bahrain,4,3,1,8
Barbados,0,0,1,1
Belarus,21,37,47,105
Belgium,49,59,67,175
Bermuda,1,0,1,2
Bohemia,0,1,3,4
Botswana,1,2,1,4
Brazil,40,49,81,170
British West Indies,0,0,2,2
Bulgaria,58,91,88,237
Burkina Faso,0,0,1,1
Burundi,1,1,0,2
Cameroon,3,1,2,6
Canada,157,189,232,578
Cape Verde,0,0,1,1
Chile,3,8,4,15
China,325,258,221,804
Colombia,5,16,17,38
Costa Rica,1,1,2,4
Ivory Coast,1,1,3,5
Croatia,20,21,18,59
Cuba,86,70,88,244
Cyprus,0,2,0,2
Czech Republic,32,33,41,106
Czechoslovakia,51,57,60,168
Denmark,50,81,84,215
Djibouti,0,0,1,1
Dominica,1,0,0,1
Dominican Republic,4,5,6,15
Ecuador,4,4,2,10
Egypt,9,12,20,41
Eritrea,0,0,1,1
Estonia,14,11,19,44
Ethiopia,24,15,23,62
Fiji,2,1,1,4
Finland,146,150,184,480
France,280,319,354,953
Gabon,0,1,0,1
Georgia,13,15,19,47
Germany,317,318,320,955
United Team of Germany,36,60,41,137
East Germany,192,165,162,519
West Germany,67,82,94,243
Ghana,0,1,4,5
Great Britain,310,344,360,1014
Greece,36,46,47,129
Grenada,1,1,3,5
Guatemala,1,1,1,3
Guyana,0,0,1,1
Haiti,0,1,1,2
Hong Kong,4,3,6,13
Hungary,189,163,188,540
Iceland,0,2,2,4
India,10,10,21,41
Indonesia,10,14,16,40
Iran,27,29,32,88
Iraq,0,0,1,1
Ireland,15,10,17,42
Israel,4,6,10,20
Italy,271,244,284,799
Jamaica,27,39,28,94
Japan,206,191,221,618
Jordan,1,2,1,4
Kazakhstan,16,28,42,86
Kenya,39,44,41,124
Kosovo,3,1,1,5
North Korea,16,19,28,63
South Korea,142,130,127,399
Kuwait,0,0,3,3
Kyrgyzstan,0,5,8,13
Latvia,5,14,12,31
Lebanon,0,2,2,4
Liechtenstein,2,2,6,10
Lithuania,6,9,15,30
Luxembourg,2,3,0,5
Malaysia,0,8,7,15
Mauritius,0,0,1,1
Mexico,13,27,37,77
Moldova,0,3,7,10
Mongolia,2,12,17,31
Montenegro,0,1,0,1
Morocco,8,5,13,26
Mozambique,1,0,1,2
Namibia,0,5,0,5
Netherlands,163,161,179,503
Netherlands Antilles,0,1,0,1
New Zealand,65,42,56,163
Niger,0,1,1,2
Nigeria,3,11,13,27
North Macedonia (MKD),0,1,1,2
Norway,213,187,176,576
Pakistan,4,3,4,11
Panama,1,1,2,4
Paraguay,0,1,0,1
Peru,1,3,1,5
Philippines,3,5,10,18
Poland,80,100,151,331
Portugal,6,11,15,32
Puerto Rico,2,2,8,12
Qatar,2,2,5,9
Refugee Olympic Team,0,0,1,1
Romania,93,101,124,318
Russia,193,164,185,542
Russian Empire,1,4,3,8
Soviet Union,473,376,355,1204
Unified Team,54,44,37,135
Olympic Athletes from Russia,2,6,9,17
ROC (ROC),25,40,38,103
Samoa,0,1,0,1
Saint Lucia,1,1,0,2
San Marino,0,1,2,3
Saudi Arabia,0,2,2,4
Senegal,0,1,0,1
Serbia,9,8,12,29
Serbia and Montenegro,2,4,3,9
Singapore,1,2,3,6
Slovakia,14,18,11,43
Slovenia,14,18,23,55
South Africa,28,36,31,95
Spain,54,77,61,192
Sri Lanka,0,2,0,2
Sudan,0,1,0,1
Suriname,1,0,1,2
Sweden,216,232,242,690
Switzerland,117,128,137,382
Syria,1,1,2,4
Chinese Taipei,9,11,23,43
Tajikistan,1,1,5,7
Tanzania,0,2,0,2
Thailand,11,11,19,41
Togo,0,0,1,1
Tonga,0,1,0,1
Trinidad and Tobago,3,5,11,19
Tunisia,6,4,8,18
Turkey,41,29,41,111
Turkmenistan,0,1,0,1
Uganda,5,5,3,13
Ukraine,41,43,76,160
United Arab Emirates,1,0,1,2
United States,1219,1000,876,3095
Uruguay,2,2,6,10
Uzbekistan,19,8,23,50
Venezuela,3,7,9,19
Vietnam,1,3,1,5
Virgin Islands,0,1,0,1
Yugoslavia,26,32,29,87
Zambia,0,1,2,3
Zimbabwe,3,4,1,8
Individual Neutral Athletes,1,3,1,5
Independent Olympic Athletes,1,0,1,2
Independent Olympic Participants,0,1,2,3
Mixed team,11,6,8,25
